Month,DHI,DNI,GHI,Solar Zenith Angle,Wind Speed,datetime,Angulo,azimuth,tracker_theta,Hour Sine,Hour Cosine
9,99,311,176,75.73,3.0,2019-09-24 07:00:00,15,84.14541187304633,-57.948110461384665,0.9659258262890683,-0.25881904510252085
9,132,437,289,68.93,2.9000000000000004,2019-09-24 07:30:00,15,80.86704257790313,-60.0,0.9238795325112867,-0.3826834323650897
9,153,538,403,62.190000000000005,2.7,2019-09-24 08:00:00,15,77.28202938199274,-60.0,0.8660254037844387,-0.4999999999999998
9,171,604,513,55.54,2.3000000000000003,2019-09-24 08:30:00,15,73.23214693546402,-54.37024171404156,0.7933533402912352,-0.6087614290087207
9,189,649,614,49.05,1.9,2019-09-24 09:00:00,-60,68.49648592872211,-46.98855153504024,0.7071067811865476,-0.7071067811865475
9,267,21,282,42.78,1.5,2019-09-24 09:30:00,-9,62.75375495985662,-39.440146068502855,0.6087614290087204,-0.7933533402912353
9,398,192,552,36.87,1.1,2019-09-24 10:00:00,-40,55.52849424278435,-31.72455169098203,0.49999999999999994,-0.8660254037844387
9,400,66,457,31.53,0.9,2019-09-24 10:30:00,-16,46.13701623933707,-23.85364235539176,0.3826834323650899,-0.9238795325112867
9,243,711,877,27.09,0.7000000000000001,2019-09-24 11:00:00,-56,33.73210231003941,-15.85225170945712,0.258819045102521,-0.9659258262890682
9,246,716,900,24.08,0.8,2019-09-24 11:30:00,-49,17.75785058666696,-7.7572119155113155,0.13052619222005157,-0.9914448613738104
9,276,675,897,23.05,1.0,2019-09-24 12:00:00,-41,359.09383750324827,0.3853922884102285,1.2246467991473532e-16,-1.0
9,445,328,744,24.27,1.2000000000000002,2019-09-24 12:30:00,-25,340.57336763494106,8.524553137886075,-0.13052619222005132,-0.9914448613738105
9,452,127,565,27.43,1.3,2019-09-24 13:00:00,-12,324.90627803108845,16.60958797425878,-0.25881904510252035,-0.9659258262890684
9,283,612,802,31.97,1.6,2019-09-24 13:30:00,-20,312.7964699476838,24.595325593700327,-0.3826834323650892,-0.923879532511287
9,392,223,569,37.37,1.8,2019-09-24 14:00:00,-9,303.62524576587094,32.44627239180735,-0.5000000000000001,-0.8660254037844386
9,275,530,661,43.32,2.1,2019-09-24 14:30:00,-6,296.5506715252718,40.13914595798333,-0.6087614290087207,-0.7933533402912352
9,287,67,330,49.61,2.4000000000000004,2019-09-24 15:00:00,0,290.9082461782637,47.6636323435517,-0.7071067811865475,-0.7071067811865477
9,242,72,282,56.120000000000005,2.7,2019-09-24 15:30:00,3,286.238380056469,55.02161700508372,-0.7933533402912349,-0.6087614290087209
9,212,322,360,62.77,3.0,2019-09-24 16:00:00,13,282.2303788737872,60.0,-0.8660254037844385,-0.5000000000000004
9,167,239,251,69.52,3.3000000000000003,2019-09-24 16:30:00,19,278.66993943450046,60.0,-0.9238795325112868,-0.3826834323650895
9,90,100,114,76.32000000000001,3.5,2019-09-24 17:00:00,23,275.40278530610374,52.33007400504037,-0.9659258262890683,-0.25881904510252063
9,27,0,27,83.12,3.5,2019-09-24 17:30:00,0,272.3109333723325,20.61241404115065,-0.9914448613738104,-0.13052619222005163
9,0,0,0,89.66,3.5,2019-09-24 18:00:00,60,269.2968420309204,1.111014730889579,-1.0,-1.8369701987210297e-16
9,0,0,0,96.98,3.5,2019-09-24 18:30:00,60,266.2719210477518,0.0,-0.9914448613738104,0.13052619222005213
9,0,0,0,103.82,3.6,2019-09-24 19:00:00,60,263.1469379300863,0.0,-0.9659258262890682,0.25881904510252113
9,0,0,0,110.62,3.5,2019-09-24 19:30:00,60,259.8223816553486,0.0,-0.9238795325112866,0.38268343236509
9,0,0,0,117.34,3.5,2019-09-24 20:00:00,60,256.176870074724,0.0,-0.8660254037844386,0.5000000000000001
9,0,0,0,123.95,3.5,2019-09-24 20:30:00,60,252.0512533364649,0.0,-0.7933533402912352,0.6087614290087205
9,0,0,0,130.39,3.5,2019-09-24 21:00:00,60,247.22527861520317,0.0,-0.7071067811865477,0.7071067811865474
9,0,0,0,136.58,3.5,2019-09-24 21:30:00,15,241.38324392270675,0.0,-0.608761429008721,0.7933533402912349
9,0,0,0,142.4,3.5,2019-09-24 22:00:00,15,234.06849775655257,0.0,-0.5000000000000004,0.8660254037844384
9,0,0,0,147.62,3.5,2019-09-24 22:30:00,15,224.6477129494992,0.0,-0.38268343236508956,0.9238795325112868
9,0,0,0,151.91,3.5,2019-09-24 23:00:00,15,212.38378836098744,0.0,-0.2588190451025207,0.9659258262890683
9,0,0,0,154.79,3.4000000000000004,2019-09-24 23:30:00,15,196.8789803077636,0.0,-0.13052619222005168,0.9914448613738104
9,0,0,0,155.74,3.4000000000000004,2019-09-25 00:00:00,15,179.0307809929301,0.0,0.0,1.0
9,0,0,0,154.55,3.3000000000000003,2019-09-25 00:30:00,15,161.3444918436254,0.0,0.13052619222005157,0.9914448613738104
9,0,0,0,151.48,3.2,2019-09-25 01:00:00,15,146.19640917247375,0.0,0.25881904510252074,0.9659258262890683
9,0,0,0,147.06,3.2,2019-09-25 01:30:00,15,134.2898778484132,0.0,0.3826834323650898,0.9238795325112867
9,0,0,0,141.76,3.1,2019-09-25 02:00:00,15,125.14744186171164,0.0,0.49999999999999994,0.8660254037844387
9,0,0,0,135.89,3.1,2019-09-25 02:30:00,15,118.03159411047989,0.0,0.6087614290087207,0.7933533402912352
9,0,0,0,129.66,3.1,2019-09-25 03:00:00,15,112.32907348442508,0.0,0.7071067811865476,0.7071067811865476
9,0,0,0,123.19,3.1,2019-09-25 03:30:00,15,107.60170992100518,0.0,0.7933533402912352,0.6087614290087207
9,0,0,0,116.56,3.0,2019-09-25 04:00:00,15,103.5468899539124,0.0,0.8660254037844386,0.5000000000000001
9,0,0,0,109.83,2.9000000000000004,2019-09-25 04:30:00,15,99.9529622855522,0.0,0.9238795325112867,0.38268343236508984
9,0,0,0,103.02,2.8000000000000003,2019-09-25 05:00:00,15,96.66629404919728,0.0,0.9659258262890683,0.25881904510252074
9,0,0,0,96.17,2.8000000000000003,2019-09-25 05:30:00,15,93.56897580409652,0.0,0.9914448613738104,0.1305261922200517
9,1,0,1,88.94,2.7,2019-09-25 06:00:00,15,90.56357214979016,-3.1148082973432167,1.0,6.123233995736766e-17
9,19,0,19,82.31,2.9000000000000004,2019-09-25 06:30:00,15,87.56188013446393,-23.324069287387843,0.9914448613738105,-0.13052619222005138
9,7,0,7,75.5,3.2,2019-09-25 07:00:00,15,84.47541776809328,-60.0,0.9659258262890683,-0.25881904510252085
9,12,0,12,68.69,3.4000000000000004,2019-09-25 07:30:00,15,81.20574473161037,-60.0,0.9238795325112867,-0.3826834323650897
9,26,0,26,61.940000000000005,3.6,2019-09-25 08:00:00,15,77.6326257027302,-60.0,0.8660254037844387,-0.4999999999999998
9,79,0,79,55.28,3.5,2019-09-25 08:30:00,15,73.59742607932924,-54.156120715366114,0.7933533402912352,-0.6087614290087207
9,158,2,159,48.77,3.5,2019-09-25 09:00:00,-2,68.87792534020093,-46.78437126665546,0.7071067811865476,-0.7071067811865475
9,105,0,105,42.48,3.4000000000000004,2019-09-25 09:30:00,0,63.14930844630533,-39.248433294380575,0.6087614290087204,-0.7933533402912353
