,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_ccp_alpha,param_max_depth,param_max_features,param_max_leaf_nodes,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
1330,10.973498503367106,1.4200590007035843,0.14413770039876303,0.01495628554588713,0.0,20.0,,,4,6,300,"{'ccp_alpha': 0, 'max_depth': 20, 'max_features': None, 'max_leaf_nodes': None, 'min_samples_leaf': 4, 'min_samples_split': 6, 'n_estimators': 300}",-0.025668836390673307,-0.009403149257346553,-0.00803004062585516,-0.014367342091291674,0.008011000223762561,52
30,8.523838520050049,1.0295998953096264,0.10690116882324219,0.007049426370640158,0.0,,,,4,4,300,"{'ccp_alpha': 0, 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'min_samples_leaf': 4, 'min_samples_split': 4, 'n_estimators': 300}",-0.025668836390673307,-0.009403149257346553,-0.00803004062585516,-0.014367342091291674,0.008011000223762561,52
1322,11.01142684618632,1.3987797245660645,0.14245065053304037,0.006860887403629138,0.0,20.0,,,4,2,300,"{'ccp_alpha': 0, 'max_depth': 20, 'max_features': None, 'max_leaf_nodes': None, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 300}",-0.025668836390673307,-0.009403149257346553,-0.00803004062585516,-0.014367342091291674,0.008011000223762561,52
26,8.344363371531168,1.0617237915438227,0.10594495137532552,0.007792464806312609,0.0,,,,4,2,300,"{'ccp_alpha': 0, 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 300}",-0.025668836390673307,-0.009403149257346553,-0.00803004062585516,-0.014367342091291674,0.008011000223762561,52
29,5.585916757583618,0.6899935130086602,0.07534042994181316,0.01058748584249662,0.0,,,,4,4,200,"{'ccp_alpha': 0, 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'min_samples_leaf': 4, 'min_samples_split': 4, 'n_estimators': 200}",-0.025690219802583708,-0.009371168706801866,-0.008056692735940977,-0.014372693748442184,0.008020671574505544,58
25,5.535645802815755,0.6427078171495025,0.06437905629475911,0.0064930976831524346,0.0,,,,4,2,200,"{'ccp_alpha': 0, 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 200}",-0.025690219802583708,-0.009371168706801866,-0.008056692735940977,-0.014372693748442184,0.008020671574505544,58
1329,7.3366875648498535,0.8891327733516896,0.0892491340637207,0.00792395100284247,0.0,20.0,,,4,6,200,"{'ccp_alpha': 0, 'max_depth': 20, 'max_features': None, 'max_leaf_nodes': None, 'min_samples_leaf': 4, 'min_samples_split': 6, 'n_estimators': 200}",-0.025690219802583708,-0.009371168706801866,-0.008056692735940977,-0.014372693748442184,0.008020671574505544,58
1321,7.358656167984009,0.8726842563370865,0.09713093439737956,0.009884327124939463,0.0,20.0,,,4,2,200,"{'ccp_alpha': 0, 'max_depth': 20, 'max_features': None, 'max_leaf_nodes': None, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 200}",-0.025690219802583708,-0.009371168706801866,-0.008056692735940977,-0.014372693748442184,0.008020671574505544,58
33,5.611239512761434,0.6835823158225565,0.07051801681518555,0.005344322854461739,0.0,,,,4,6,200,"{'ccp_alpha': 0, 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'min_samples_leaf': 4, 'min_samples_split': 6, 'n_estimators': 200}",-0.025690219802583708,-0.009371168706801866,-0.008056692735940977,-0.014372693748442184,0.008020671574505544,58
1325,7.027506033579509,0.8431431253610288,0.09494431813557942,0.007837724837182581,0.0,20.0,,,4,4,200,"{'ccp_alpha': 0, 'max_depth': 20, 'max_features': None, 'max_leaf_nodes': None, 'min_samples_leaf': 4, 'min_samples_split': 4, 'n_estimators': 200}",-0.025690219802583708,-0.009371168706801866,-0.008056692735940977,-0.014372693748442184,0.008020671574505544,58
24,2.765384833017985,0.33333845355577907,0.034731785456339516,0.001603855401145385,0.0,,,,4,2,100,"{'ccp_alpha': 0, 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100}",-0.02574474362653636,-0.009346542981007563,-0.008077770274292264,-0.014389685627278728,0.00804592868765336,64
32,2.7778703371683755,0.34856021581426055,0.04297820727030436,0.005347976390895505,0.0,,,,4,6,100,"{'ccp_alpha': 0, 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'min_samples_leaf': 4, 'min_samples_split': 6, 'n_estimators': 100}",-0.02574474362653636,-0.009346542981007563,-0.008077770274292264,-0.014389685627278728,0.00804592868765336,64
1320,3.6597673892974854,0.4186442825591214,0.046901702880859375,0.009852320183317222,0.0,20.0,,,4,2,100,"{'ccp_alpha': 0, 'max_depth': 20, 'max_features': None, 'max_leaf_nodes': None, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100}",-0.02574474362653636,-0.009346542981007563,-0.008077770274292264,-0.014389685627278728,0.00804592868765336,64
28,2.829039971033732,0.33614396020819953,0.03903754552205404,0.008311937006811277,0.0,,,,4,4,100,"{'ccp_alpha': 0, 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'min_samples_leaf': 4, 'min_samples_split': 4, 'n_estimators': 100}",-0.02574474362653636,-0.009346542981007563,-0.008077770274292264,-0.014389685627278728,0.00804592868765336,64
1324,3.504068692525228,0.410598872092838,0.052071571350097656,0.007363897382115675,0.0,20.0,,,4,4,100,"{'ccp_alpha': 0, 'max_depth': 20, 'max_features': None, 'max_leaf_nodes': None, 'min_samples_leaf': 4, 'min_samples_split': 4, 'n_estimators': 100}",-0.02574474362653636,-0.009346542981007563,-0.008077770274292264,-0.014389685627278728,0.00804592868765336,64
1328,3.6440072854359946,0.476651760202263,0.04971448580423991,0.016681781217411113,0.0,20.0,,,4,6,100,"{'ccp_alpha': 0, 'max_depth': 20, 'max_features': None, 'max_leaf_nodes': None, 'min_samples_leaf': 4, 'min_samples_split': 6, 'n_estimators': 100}",-0.02574474362653636,-0.009346542981007563,-0.008077770274292264,-0.014389685627278728,0.00804592868765336,64
