date,Kt_mean,classification
2019-09-03,0.3151631658167152,Nublado
2019-09-04,0.21872548246698217,Nublado
2019-09-05,0.14547855850825855,Nublado
2019-09-06,0.2050103088883279,Nublado
2019-09-07,0.6165956796287511,Parcialmente Ensolarado
2019-09-08,0.607830986180673,Parcialmente Ensolarado
2019-09-09,0.6579031770036204,Ensolarado
2019-09-10,0.6642251212293614,Ensolarado
2019-09-11,0.629222672938776,Parcialmente Ensolarado
2019-09-12,0.6069147627131567,Parcialmente Ensolarado
2019-09-13,0.3603987476101172,Parcialmente Nublado
2019-09-14,0.6012665744299932,Parcialmente Ensolarado
2019-09-15,0.6245614905735668,Parcialmente Ensolarado
2019-09-16,0.6290835975552423,Parcialmente Ensolarado
2019-09-17,0.6260912355892504,Parcialmente Ensolarado
2019-09-18,0.6207198094536398,Parcialmente Ensolarado
2019-09-19,0.41764204808340993,Parcialmente Nublado
2019-09-20,0.2813526494744376,Nublado
2019-09-21,0.19576574835315852,Nublado
2019-09-22,0.21928254303630673,Nublado
2019-09-23,0.31652333604593674,Nublado
2019-09-24,0.4891729343337492,Parcialmente Nublado
2019-09-25,0.12267352007270885,Nublado
2019-09-26,0.13494177528250095,Nublado
2019-09-27,0.45863805995667745,Parcialmente Nublado
2019-09-28,0.28455029204123994,Nublado
2019-09-29,0.6594730488221764,Ensolarado
2019-09-30,0.6655225871613061,Ensolarado
2019-10-01,0.6660674276625451,Ensolarado
2019-10-02,0.6569628509564142,Ensolarado
2019-10-03,0.6206395346870326,Parcialmente Ensolarado
2019-10-04,0.6752441181388471,Ensolarado
2019-10-05,0.6599791079297401,Ensolarado
2019-10-06,0.40828909281488746,Parcialmente Nublado
2019-10-07,0.2139296372375739,Nublado
2019-10-08,0.10038844376145295,Nublado
2019-10-09,0.2163233582996719,Nublado
2019-10-10,0.5686065265088884,Parcialmente Ensolarado
2019-10-11,0.6389916082315653,Parcialmente Ensolarado
2019-10-12,0.614663615548962,Parcialmente Ensolarado
2019-10-13,0.6481570054938399,Parcialmente Ensolarado
2019-10-14,0.6627645949778344,Ensolarado
2019-10-15,0.2599199382444025,Nublado
2019-10-16,0.5392558088024927,Parcialmente Ensolarado
2019-10-17,0.6138784262571465,Parcialmente Ensolarado
2019-10-18,0.429060074217489,Parcialmente Nublado
2019-10-19,0.4370487358745712,Parcialmente Nublado
2019-10-20,0.3877429597167573,Parcialmente Nublado
2019-10-21,0.22066803063949686,Nublado
2019-10-22,0.45289592996812444,Parcialmente Nublado
2019-10-23,0.5439847791551324,Parcialmente Ensolarado
2019-10-24,0.4408659966696199,Parcialmente Nublado
2019-10-25,0.643078943498323,Parcialmente Ensolarado
2019-10-26,0.5280022342221619,Parcialmente Ensolarado
2019-10-27,0.6266800541525861,Parcialmente Ensolarado
2019-10-28,0.5091836671644691,Parcialmente Ensolarado
2019-10-29,0.4193245608300529,Parcialmente Nublado
2019-10-30,0.6204520958269707,Parcialmente Ensolarado
2019-10-31,0.5422990463155455,Parcialmente Ensolarado
2019-11-01,0.5430787276225065,Parcialmente Ensolarado
2019-11-02,0.6615512991772038,Ensolarado
2019-11-03,0.6115666758113181,Parcialmente Ensolarado
2019-11-04,0.5459963522394109,Parcialmente Ensolarado
2019-11-05,0.36326275509776834,Parcialmente Nublado
2019-11-06,0.19425981940676273,Nublado
2019-11-07,0.24705134585675348,Nublado
2019-11-08,0.18428209790784023,Nublado
2019-11-09,0.33288385271630094,Nublado
2019-11-10,0.20846577576791064,Nublado
2019-11-11,0.21135684960749884,Nublado
2019-11-12,0.42759842594510933,Parcialmente Nublado
2019-11-13,0.4492804846486339,Parcialmente Nublado
2019-11-14,0.26221285273559236,Nublado
2019-11-15,0.14091888048352239,Nublado
2019-11-16,0.675883973672377,Ensolarado
2019-11-17,0.2943307316564233,Nublado
2019-11-18,0.185253420353527,Nublado
2019-11-19,0.09904156818753981,Nublado
2019-11-20,0.07718724334782882,Nublado
2019-11-21,0.5045796625517288,Parcialmente Ensolarado
2019-11-22,0.5124800941696942,Parcialmente Ensolarado
2019-11-23,0.40927097505989124,Parcialmente Nublado
2019-11-24,0.3121277903294636,Nublado
2019-11-25,0.6323193716821075,Parcialmente Ensolarado
2019-11-26,0.6048557541939275,Parcialmente Ensolarado
2019-11-27,0.22367599351799453,Nublado
2019-11-28,0.11504116392230646,Nublado
2019-11-29,0.6384511650799586,Parcialmente Ensolarado
2019-11-30,0.5780100073075891,Parcialmente Ensolarado
2019-12-01,0.3912098019912665,Parcialmente Nublado
2019-12-02,0.2970633973398653,Nublado
2019-12-03,0.39410231169213317,Parcialmente Nublado
2019-12-04,0.4221321951157026,Parcialmente Nublado
2019-12-05,0.34653914633965194,Nublado
2019-12-06,0.2732507537193954,Nublado
2019-12-07,0.6778254845652465,Ensolarado
2019-12-08,0.6993838188654486,Ensolarado
2019-12-09,0.2985071254796709,Nublado
2019-12-10,0.2253632196169923,Nublado
2019-12-11,0.2677884893461496,Nublado
2019-12-12,0.46725234990439446,Parcialmente Nublado
2019-12-13,0.3806188722466164,Parcialmente Nublado
2019-12-14,0.3390529844173225,Nublado
2019-12-15,0.4518271538729593,Parcialmente Nublado
2019-12-16,0.5599978456755528,Parcialmente Ensolarado
2019-12-17,0.3896973272852098,Parcialmente Nublado
2019-12-18,0.19441507442111503,Nublado
2019-12-19,0.25240908640204107,Nublado
2019-12-20,0.3602543825630085,Parcialmente Nublado
2019-12-21,0.5125578622221802,Parcialmente Ensolarado
2019-12-22,0.3106935983518937,Nublado
2019-12-23,0.2651135698681638,Nublado
2019-12-24,0.6345822598861411,Parcialmente Ensolarado
2019-12-25,0.6686964212110035,Ensolarado
2019-12-26,0.6577248221510339,Ensolarado
2019-12-27,0.6207964232059725,Parcialmente Ensolarado
2019-12-28,0.5836954594975098,Parcialmente Ensolarado
2019-12-29,0.5723318362863933,Parcialmente Ensolarado
2019-12-30,0.6612028625582786,Ensolarado
2019-12-31,0.5244058724424692,Parcialmente Ensolarado
