,datetime_utc,tracker_theta
190,2019-01-04 23:00:00+00:00,0.0
191,2019-01-04 23:30:00+00:00,0.0
192,2019-01-05 00:00:00+00:00,0.0
193,2019-01-05 00:30:00+00:00,0.0
194,2019-01-05 01:00:00+00:00,0.0
195,2019-01-05 01:30:00+00:00,0.0
196,2019-01-05 02:00:00+00:00,0.0
197,2019-01-05 02:30:00+00:00,0.0
198,2019-01-05 03:00:00+00:00,0.0
199,2019-01-05 03:30:00+00:00,0.0
200,2019-01-05 04:00:00+00:00,0.0
201,2019-01-05 04:30:00+00:00,0.0
202,2019-01-05 05:00:00+00:00,0.0
203,2019-01-05 05:30:00+00:00,0.0
204,2019-01-05 06:00:00+00:00,0.0
205,2019-01-05 06:30:00+00:00,0.0
206,2019-01-05 07:00:00+00:00,0.0
207,2019-01-05 07:30:00+00:00,0.0
208,2019-01-05 08:00:00+00:00,0.0
209,2019-01-05 08:30:00+00:00,-1.021820491236852
210,2019-01-05 09:00:00+00:00,-13.303691804328011
211,2019-01-05 09:30:00+00:00,-28.535491403123295
212,2019-01-05 10:00:00+00:00,-55.0
213,2019-01-05 10:30:00+00:00,-55.0
214,2019-01-05 11:00:00+00:00,-55.0
215,2019-01-05 11:30:00+00:00,-50.17979208853136
216,2019-01-05 12:00:00+00:00,-43.566489869555355
217,2019-01-05 12:30:00+00:00,-36.89890798625273
218,2019-01-05 13:00:00+00:00,-30.170615442772654
219,2019-01-05 13:30:00+00:00,-23.381679551236537
220,2019-01-05 14:00:00+00:00,-16.53836933976164
221,2019-01-05 14:30:00+00:00,-9.652418716103268
222,2019-01-05 15:00:00+00:00,-2.739829822590276
223,2019-01-05 15:30:00+00:00,4.180784592275171
224,2019-01-05 16:00:00+00:00,11.08984563550109
225,2019-01-05 16:30:00+00:00,17.96913124289439
226,2019-01-05 17:00:00+00:00,24.803373987928246
227,2019-01-05 17:30:00+00:00,31.58185058389546
228,2019-01-05 18:00:00+00:00,38.299488059262046
229,2019-01-05 18:30:00+00:00,44.9575084124831
230,2019-01-05 19:00:00+00:00,51.563644505323865
231,2019-01-05 19:30:00+00:00,55.0
232,2019-01-05 20:00:00+00:00,55.0
233,2019-01-05 20:30:00+00:00,48.00767094969858
234,2019-01-05 21:00:00+00:00,24.877338033980358
235,2019-01-05 21:30:00+00:00,10.514873413425335
236,2019-01-05 22:00:00+00:00,0.0
237,2019-01-05 22:30:00+00:00,0.0
238,2019-01-05 23:00:00+00:00,0.0
239,2019-01-05 23:30:00+00:00,0.0
240,2019-01-06 00:00:00+00:00,0.0
241,2019-01-06 00:30:00+00:00,0.0
242,2019-01-06 01:00:00+00:00,0.0
243,2019-01-06 01:30:00+00:00,0.0
244,2019-01-06 02:00:00+00:00,0.0
245,2019-01-06 02:30:00+00:00,0.0
246,2019-01-06 03:00:00+00:00,0.0
247,2019-01-06 03:30:00+00:00,0.0
248,2019-01-06 04:00:00+00:00,0.0
249,2019-01-06 04:30:00+00:00,0.0
250,2019-01-06 05:00:00+00:00,0.0
251,2019-01-06 05:30:00+00:00,0.0
252,2019-01-06 06:00:00+00:00,0.0
253,2019-01-06 06:30:00+00:00,0.0
254,2019-01-06 07:00:00+00:00,0.0
255,2019-01-06 07:30:00+00:00,0.0
256,2019-01-06 08:00:00+00:00,0.0
257,2019-01-06 08:30:00+00:00,-0.7723853944800823
258,2019-01-06 09:00:00+00:00,-12.998992740910012
259,2019-01-06 09:30:00+00:00,-28.128332939516376
260,2019-01-06 10:00:00+00:00,-55.0
261,2019-01-06 10:30:00+00:00,-55.0
262,2019-01-06 11:00:00+00:00,-55.0
263,2019-01-06 11:30:00+00:00,-50.316653529041226
264,2019-01-06 12:00:00+00:00,-43.69992785171144
265,2019-01-06 12:30:00+00:00,-37.028645294470024
